Scheme_Code,Scheme_Name,Fund_House,Scheme_Type,Scheme_Category,Expense,AUM,MoneyControl_Link,CrisilRank,FundManagers,Age,3M Ret,1Y Ret,3Y Ret,5Y Ret,Ret Inception,Sharpe Ratio,Sortino Ratio,Info Ratio,Beta,Alpha,R-Squared,Pos_Year%,Year,Inception_Date,Volatility,Rel_MaxDD,Roll_Ret_1Y,Roll_Ret_3Y,Roll_Ret_Inception,Prob_10Pct,NumStocks,Top5_Pct,Top10_Pct,Top3_Sector,Equity_Holding,F&O_Holding,Foreign_Holding,NumDebts,Modified_Duration,YTM,GT_1PCT,GT_3PCT,GT_5PCT,LT_NEG_1PCT,LT_NEG_3PCT,LT_NEG_5PCT,POS_PCT,GT_NIFTY_UP,GT_NIFTY_DOWN,NIFTY_CORR,PCT_GT_NIFTY
138382,PGIM India Hybrid Equity Fund,PGIM India,Hybrid,Aggressive Hybrid,2.32%,227.26,https://www.moneycontrol.com/mutual-funds/pgim-india-hybrid-equity-fund-regular-plan/portfolio-overview/MDE029,3 Stars,Vinay Paharia|Puneet Pal|Vivek Sharma|Ojasvi Khicha,7.27,6.45,16.25,17.61,8.23,9.62,0.97,1.32,-0.04,0.64,0.03,0.72,75.00,2016,2016-03-08,11.76,1.2025121542924553,-0.77,13.09,9.11,0.47164193886348693,44,28.74%,38.95%,29.05%,66.28,0.00,0.00,10,0.21,7.03,7.4,0.37,0.15,7.48,0.67,0.3,55.2,20.58,80.26,0.9237433449787819,47.94
101070,Quant Absoute,Quant,Hybrid,Aggressive Hybrid,2.31%,1189.15,https://www.moneycontrol.com/mutual-funds/quant-absolute-fund/portfolio-overview/MES006,5 Stars,Anikt Pande|Vasav Sahgal|Sanjeev Sharma,17.21,5.07,12.77,33.55,18.86,12.33,1.72,2.42,0.04,0.62,0.16,0.46,77.78,2006,2006-04-03,14.32,0.7103317127653671,11.21,32.35,14.44,0.6073399336176564,19,40.36%,61.79%,27.51%,72.00,0.19,0.00,7,0.00,-,11.52,0.37,0.07,9.65,0.82,0.15,56.84,34.12,67.86,0.7802577940806705,49.59
102885,SBI EQUITY HYBRID FUND,SBI,Hybrid,Aggressive Hybrid,1.52%,57161.02,https://www.moneycontrol.com/mutual-funds/sbi-equity-hybrid-fund/portfolio-overview/MSB063,2 Stars,Rama Iyer Srinivisan|Dinesh Ahuja|Mohit Jain,17.21,7.48,11.45,17.95,10.82,12.04,1.08,1.52,-0.04,0.59,0.04,0.77,88.89,2006,2006-04-03,10.65,0.7412210218041521,2.92,15.48,13.69,0.5971588837491801,36,27.56%,44.63%,30.25%,79.06,0.00,0.00,45,4.97,7.46,5.84,0.3,0.07,5.84,0.45,0.15,55.01,21.16,83.85,0.9238289077937352,49.93
100414,Tata Hybrid Equity Fund,Tata,Hybrid,Aggressive Hybrid,1.98%,3324.89,https://www.moneycontrol.com/mutual-funds/tata-hybrid-equity-fund-regular-plan/portfolio-overview/MTA001,3 Stars,Satish Chandra Mishra|Murthy Nagarajan|Chandraprakash Padiyar,17.21,5.81,16.49,20.83,10.03,12.58,1.2,1.7,-0.02,0.67,0.05,0.79,83.33,2006,2006-04-03,11.73,0.7050971854298576,7.21,16.7,14.37,0.6121304820998994,34,29.72%,47.29%,28.64%,75.83,0.00,0.00,38,2.54,7.64,7.78,0.37,0.07,7.11,0.6,0.22,53.55,18.09,81.89,0.9436248982096425,47.34
131666,Aditya Birla Sun Life Balanced Advantage Fund,Aditya Birla,Hybrid,Balanced Advantage,1.77%,6428.16,https://www.moneycontrol.com/mutual-funds/aditya-birla-sun-life-balanced-advantage-fund-regular-plan-/portfolio-overview/MIN007,2 Stars,Lovelish Solanki|Mohit Sharma|Vishal Gajwani,8.67,5.58,12.75,15.61,9.5,10.24,1.19,1.66,-0.05,0.43,0.06,0.74,100.00,2014,2014-10-13,7.95,0.4815425755394285,3.98,13.28,10.68,0.525842791104898,113,20.59%,29.87%,25.89%,71.16,0.00,0.00,31,1.28,7.65,3.52,0.45,0.07,3.74,0.45,0.15,54.34,11.48,90.7,0.9229778321912327,47.83
141644,Axis Balanced Advantage Fund,Axis,Hybrid,Balanced Advantage,1.99%,2042.35,https://www.moneycontrol.com/mutual-funds/axis-balanced-advantage-fund-regular-plan/portfolio-overview/MAA731,Not Rated,Hardik Shah|R. Sivakumar|Ashish Naik,5.85,6.67,11.33,12.06,7.11,8.03,0.85,1.2,-0.05,0.44,0.04,0.74,85.71,2017,2017-08-07,8.28,0.5708687997889881,2.32,9.44,8.01,,71,26.63%,42.38%,30.68%,72.96,-7.88,0.00,28,2.87,7.52,2.39,0.0,0.0,3.22,0.07,0.07,50.49,9.12,91.52,0.9033259075524968,46.9
112117,Edelweiss Balanced Advantage Fund,Edelweiss,Hybrid,Balanced Advantage,1.73%,9077.99,https://www.moneycontrol.com/mutual-funds/edelweiss-balanced-advantage-fund-regular-plan/portfolio-overview/MEW051,2 Stars,Bhavesh Jain|Bharat Lahoti|Rahul Hemchand Dedhia,13.82,5.73,12.59,16.18,10.86,11.29,1.16,1.6,-0.05,0.49,0.05,0.76,86.67,2009,2009-08-21,8.8,0.6142401869311659,3.36,15.51,11.65,0.5774983036934676,103,22.84%,34.61%,26.62%,76.14,0.27,0.00,16,1.83,7.05,2.99,0.07,0.0,4.04,0.15,0.07,55.01,14.94,87.93,0.9042226878084207,48.43
100119,HDFC Balanced Advantage Fund,HDFC,Hybrid,Balanced Advantage,1.49%,54412.64,https://www.moneycontrol.com/mutual-funds/hdfc-balanced-advantage-fund/portfolio-overview/MHD001,4 Stars,Srinivasan Ramamurty|Priya Ranjan|Nirman Morakhia|Anil Bamboli|Gopal Agrawal|Arun Agarwal,17.21,6.12,21.19,27.39,13.31,13.32,1.57,2.21,0.02,0.63,0.12,0.62,72.22,2006,2006-04-03,12.51,0.6423804062216922,14.85,20.98,15.54,0.6148131809303126,119,21.1%,34.73%,21.23%,66.73,0.00,0.00,59,2.58,7.32,11.07,0.6,0.07,9.5,0.82,0.22,55.42,35.08,66.39,0.8817073926194593,49.44
104685,ICICI Prudential Balanced Advantage Fund,ICICI Prudential,Hybrid,Balanced Advantage,1.54%,45584.03,https://www.moneycontrol.com/mutual-funds/icici-prudential-balanced-advantage-fund/portfolio-overview/MPI126,2 Stars,Sri Sharma|Sharmila D’mello|Sankaran Naren|Rajat Chandak|Manish Banthia|Ihab Dalwai|Ritesh Lunawat,16.46,4.55,11.9,16.77,10.3,11.66,1.57,2.26,-0.05,0.37,0.08,0.75,88.24,2007,2007-01-01,6.83,0.30896120745194455,7.41,14.25,12.21,0.5671878030520608,94,21.26%,32.9%,25.6%,66.84,-0.01,0.00,61,1.49,7.92,3.22,0.37,0.07,2.62,0.45,0.15,54.45,9.39,93.8,0.9234277649126338,48.09
144333,Kotak Balanced Advantage Fund,Kotak,Hybrid,Balanced Advantage,1.66%,14422.3,https://www.moneycontrol.com/mutual-funds/kotak-balanced-advantage-fund-regular-plan/portfolio-overview/MKM1177,Not Rated,Abhishek Bisen|Harish Krishnan|Hiten Shah,4.84,5.19,12.7,14.41,,,1.29,1.84,-0.05,0.34,0.07,0.72,100.00,2018,2018-08-10,6.28,0.4285333740879223,4.68,12.67,11.55,,98,17.16%,27.29%,22.32%,68.59,0.00,0.00,53,2.70,7.57,2.96,0.42,0.08,2.79,0.42,0.17,57.01,8.92,95.6,0.9099042952598905,48.82
102846,Nippon India Balanced Advantage Fund,Nippon India,Hybrid,Balanced Advantage,1.79%,6791.19,https://www.moneycontrol.com/mutual-funds/nippon-india-balanced-advantage-fund/portfolio-overview/MRC078,Not Rated,Kinjal Desai|Amar Kalkundrikar|Ashutosh Bhargava|Sushil Budhia|Akshay Sharma,17.21,5.19,11.34,15.35,8.85,12.18,1.24,1.71,-0.05,0.39,0.06,0.72,88.89,2006,2006-04-03,7.22,0.4351070673311999,4.94,12.4,13.82,0.5795061493699291,57,23.62%,35.94%,26.46%,68.94,0.00,0.00,64,3.01,7.82,2.54,0.07,0.0,3.22,0.3,0.07,57.11,12.98,89.05,0.9071458000939141,47.83
148657,PGIM India Balanced Advantage Fund,PGIM India,Hybrid,Balanced Advantage,2.07%,1392.94,https://www.moneycontrol.com/mutual-funds/pgim-india-balanced-advantage-fund-regular-plan/portfolio-overview/MDE1921,Not Rated,A. Anandha Padmanabhan|Vinay Paharia|Puneet Pal|Hitash Dang|Ojasvi Khicha,2.34,5.83,13.0,,,,,,-0.01,0.4,0.05,0.55,100.00,2021,2021-02-08,,0.7181830012587337,3.76,,,,33,29.02%,45.63%,29.85%,73.74,0.00,0.00,25,0.39,7.27,2.43,0.0,0.0,3.99,0.0,0.0,50.95,13.58,88.0,0.7366764105345697,49.05
149132,SBI Balanced Advantage Fund,SBI,Hybrid,Balanced Advantage,1.67%,22094.41,https://www.moneycontrol.com/mutual-funds/sbi-balanced-advantage-fund-regular-plan/portfolio-overview/MSB1769,Not Rated,Dinesh Ahuja|Dinesh Balachandran|Mohit Jain,1.76,6.48,14.98,,,,,,0.02,0.3,0.06,0.63,100.00,2021,2021-09-07,,0.368591291712821,,,,,70,18.01%,29.47%,23.46%,65.94,0.00,1.06,15,5.45,7.24,0.69,0.0,0.0,1.38,0.0,0.0,54.84,8.68,94.42,0.795683300005853,51.15
146007,Tata Balanced Advantage Fund,Tata,Hybrid,Balanced Advantage,1.76%,6885.54,https://www.moneycontrol.com/mutual-funds/tata-balanced-advantage-fund-regular-plan/portfolio-overview/MTA1346,Not Rated,Akhil Mittal|Sailesh Jain|Rahul Singh,4.37,5.29,12.73,15.35,,,1.3,1.82,-0.05,0.38,0.06,0.75,100.00,2019,2019-01-29,6.89,0.401390831728636,5.74,13.89,12.65,,66,17.77%,28.29%,22.37%,65.37,3.20,0.00,60,1.58,7.48,2.7,0.19,0.0,3.45,0.28,0.09,57.41,7.75,93.7,0.9262205283715559,47.16
149859,ICICI Prudential Nifty Bank Index Fund,ICICI Prudential,Equity,Bank Nifty Index,1%,165.95,https://www.moneycontrol.com/mutual-funds/icici-prudential-nifty-bank-index-fund-regular-plan/portfolio-holdings/MPI4568,Not Rated,Kayzad Eghlim,1.28,8.85,26.94,,,,,,0.04,0.79,0.11,0.41,100.00,2022,2022-03-03,,1.0005586946506635,,,,,12,82.62%,99.71%,102.66%,102.66,0.00,0.00,0,0.0,0.0,16.56,0.64,0.0,13.69,1.27,0.0,57.01,40.74,60.53,0.6442400939952276,50.32
147619,Motilal Oswal Nifty Bank Index Fund,Motilal Oswal,Equity,Bank Nifty Index,1.01%,403.77,https://www.moneycontrol.com/mutual-funds/motilal-oswal-nifty-bank-index-fund-regular-plan/portfolio-holdings/MMO062,Not Rated,Swapnil Mayekar,3.76,8.88,27.4,27.88,,,0.97,1.42,0.03,1.12,0.03,0.62,80.00,2019,2019-09-11,22.3,1.1957752981665475,12.36,,,,12,79.86%,96.37%,99.22%,99.21,0.00,0.00,0,0.0,0.0,22.25,3.56,0.86,18.25,3.89,1.19,54.21,51.29,43.47,0.8654241082144958,47.73
102147,HDFC Hybrid Debt Fund,HDFC,Hybrid,Conservative Hybrid,1.82%,2809.06,https://www.moneycontrol.com/mutual-funds/hdfc-hybrid-debt-fund/portfolio-overview/MHD041,4 Stars,Srinivasan Ramamurty|Shobhit Mehrotra,17.21,4.72,12.41,13.41,9.02,9.99,1.69,2.39,-0.04,0.21,0.09,0.6,88.89,2006,2006-04-03,4.31,0.2406806973894871,5.86,10.53,10.2,0.513921860056703,42,7.71%,11.95%,8.7%,23.99,0.00,0.00,63,3.55,7.55,0.84,0.0,0.0,1.07,0.08,0.0,56.66,9.46,93.39,0.8230561691542864,48.13
105460,Invesco India Contra Fund,Invesco,Equity,Contra,1.73%,10147.78,https://www.moneycontrol.com/mutual-funds/invesco-india-contra-fund/portfolio-overview/MLI019,2 Stars,Dhimant Kothari|Taher Badshah,16.18,7.99,18.08,24.2,11.86,14.65,1.15,1.58,0.01,0.85,0.04,0.76,82.35,2007,2007-04-12,15.34,1.015238221211887,5.53,21.88,16.09,0.6266166401451412,60,28.86%,42.57%,38.13%,98.15,0.00,0.00,0,0.0,0.0,13.91,0.75,0.15,12.42,1.42,0.3,55.05,41.99,59.05,0.9326297887355764,49.81
103040,Kotak India EQ Contra Fund,Kotak,Equity,Contra,2.11%,1598.78,https://www.moneycontrol.com/mutual-funds/kotak-india-eq-contra-fund-regular-plan/portfolio-overview/MKM077,3 Stars,Shibani Sircar Kurian,17.21,6.69,21.41,26.74,12.94,11.9,1.29,1.8,0.03,0.85,0.06,0.78,83.33,2006,2006-04-03,15.07,0.9692200585581691,7.26,21.85,14.53,0.5930216276662337,59,19.13%,33.42%,27.43%,96.35,0.00,0.00,0,0.0,0.0,13.1,0.67,0.3,10.55,1.2,0.37,55.76,37.57,63.56,0.9454653015767582,49.48
102414,SBI Contra Fund,SBI,Equity,Contra,1.88%,10564.98,https://www.moneycontrol.com/mutual-funds/sbi-contra-fund/portfolio-overview/MSB010,5 Stars,Dinesh Balachandran,17.21,8.87,26.61,41.55,16.94,12.89,2.11,2.97,0.09,0.74,0.2,0.64,66.67,2006,2006-04-03,14.52,0.6793993049027556,15.76,34.43,14.98,0.5990960629128821,77,13.33%,23.22%,18.21%,77.09,0.00,2.01,7,1.20,-,13.99,0.6,0.07,11.67,1.35,0.22,56.99,38.26,64.76,0.8712836521675257,50.41
101738,Aditya Birla Sun Life Dividend Yield Fund,Aditya Birla,Equity,Dividend Yield,2.4%,904.56,https://www.moneycontrol.com/mutual-funds/aditya-birla-sun-life-dividend-yield-fund-regular-plan/portfolio-overview/MBS030,Not Rated,Vinod Bhat|Dhaval Gala,17.21,6.53,22.72,27.32,10.88,11.98,1.37,1.88,0.02,0.67,0.11,0.53,66.67,2006,2006-04-03,14.48,1.0858281062613662,7.35,22.4,14.46,0.5998573461948764,56,24.17%,37.26%,34%,87.32,0.00,10.20,0,0.0,0.0,11.53,0.52,0.0,11.83,1.05,0.15,55.91,33.2,66.56,0.8297823412888718,48.5
103678,Franklin Templeton India Equity Income Fund,Franklin ,Equity,Dividend Yield,2.19%,1446.13,https://www.moneycontrol.com/mutual-funds/templeton-india-equity-income-fund/portfolio-overview/MTE092,Not Rated,Rajasa Kakulavarapu|Mayank Bukrediwala|Anand Radhakrishnan,17.08,3.83,10.57,31.93,13.62,14.41,1.8,2.62,0.04,0.61,0.16,0.55,77.78,2006,2006-05-19,12.92,0.5993680071773461,8.66,27.55,15.83,0.6297011338532682,39,23.62%,41.11%,37.47%,70.68,0.00,14.52,0,0.0,0.0,10.55,0.15,0.15,9.51,0.67,0.22,55.69,30.8,71.41,0.8407531451621474,49.4
148610,HDFC Dividend Yield Fund,HDFC,Equity,Dividend Yield,1.9%,3155.61,https://www.moneycontrol.com/mutual-funds/hdfc-dividend-yield-fund-regular-plan/portfolio-overview/MHD3465,Not Rated,Priya Ranjan|Gopal Agrawal,2.48,7.4,21.83,,,,,,0.05,0.73,0.11,0.65,100.00,2020,2020-12-18,,0.9250054871162208,10.29,,,,74,20.58%,37.34%,31.99%,97.83,0.00,0.00,0,0.0,0.0,12.77,0.0,0.0,10.47,0.49,0.0,57.12,36.42,72.13,0.8021065917860863,53.19
129310,ICICI Prudential Dividend Yield Equity Fund,ICICI Prudential,Equity,Dividend Yield,2.11%,1541.46,https://www.moneycontrol.com/mutual-funds/icici-prudential-dividend-yield-equity-fund-regular-plan/portfolio-overview/MPI2056,Not Rated,Sharmila D’mello|Mittul Kalawadia,9.01,6.81,20.61,33.38,12.51,13.23,1.71,2.41,0.05,0.75,0.14,0.62,70.00,2014,2014-06-12,14.95,0.8386188543859926,12.19,26.5,13.72,0.5931254161002466,44,31.48%,50.37%,34.21%,86.31,0.00,0.00,2,0.01,6.28,13.91,0.3,0.07,11.44,0.97,0.22,52.58,35.36,64.93,0.8344336369093563,48.92
148948,Tata Dividend Yield Fund,Tata,Equity,Dividend Yield,2.39%,489.23,https://www.moneycontrol.com/mutual-funds/tata-dividend-yield-fund-regular-plan/portfolio-overview/MTA1371,Not Rated,Arvindkumar K. Chetty|Murthy Nagarajan|Sailesh Jain,2.05,9.66,20.06,,,,,,0.01,0.76,0.04,0.58,66.67,2021,2021-05-27,,1.1260743388262777,3.75,,,,46,23.04%,40.2%,34.48%,97.85,0.00,0.00,0,0.0,0.0,10.89,0.2,0.0,11.68,0.59,0.0,57.23,36.5,66.12,0.7615965531356769,50.69
103026,UTI Dividend Yield Fund,UTI,Equity,Dividend Yield,2.06%,2921.68,https://www.moneycontrol.com/mutual-funds/uti-dividend-yield-fund/portfolio-overview/MUT070,1 Star,Amit Premchandani,17.21,5.21,12.52,23.58,11.38,12.54,1.18,1.62,0.0,0.71,0.07,0.61,72.22,2006,2006-04-03,14.23,1.15639203612308,0.08,20.39,15.06,0.6103292159765261,50,24.26%,41.98%,36.78%,98.63,0.00,0.00,2,0.00,-,11.22,0.45,0.15,9.8,0.9,0.22,56.02,36.88,68.03,0.8702922005402798,51.16
112323,Axis Long Term Equity Fund,Axis,Equity,ELSS,1.57%,31187.06,https://www.moneycontrol.com/mutual-funds/axis-long-term-equity-fund-regular-plan/portfolio-overview/MAA011,1 Star,Jinesh Gopani,13.46,13.71,16.15,17.85,9.7,15.93,0.76,1.04,-0.03,0.85,-0.01,0.69,78.57,2009,2009-12-31,16.01,1.6105643019800968,-6.61,14.66,16.67,0.6669242975693133,39,36.88%,61.33%,32.77%,96.43,0.00,0.00,0,0.0,0.0,14.58,0.75,0.22,11.82,1.2,0.3,53.63,41.16,62.97,0.8961555159162429,51.16
111722,Canara Robeco Equity Tax Saver Fund,Canara Robeco,Equity,ELSS,1.76%,5472.69,https://www.moneycontrol.com/mutual-funds/canara-robeco-equity-tax-saver-fund-regular-plan/portfolio-overview/MCA152,3 Stars,Vishal Mishra|Shridatta Bhandwaldar,14.36,7.82,17.31,26.03,15.02,19.47,1.26,1.76,0.02,0.85,0.06,0.78,80.00,2009,2009-02-03,15.07,1.084121586121565,3.72,23.64,17.51,0.6710471868320947,61,28.16%,42.54%,34.11%,95.10,0.00,0.00,0,0.0,0.0,11.89,0.9,0.22,11.29,1.12,0.3,55.2,39.36,67.7,0.9290317677112838,52.36
104772,DSP Tax Saver Fund,DSP,Equity,ELSS,1.7%,10876.84,https://www.moneycontrol.com/mutual-funds/dsp-tax-saver-fund-regular/portfolio-overview/MDS060,3 Stars,Charanjit Singh|Rohit Singhania,16.4,6.95,16.58,26.4,13.72,14.24,1.27,1.76,0.02,0.83,0.07,0.75,82.35,2007,2007-01-22,15.02,0.9990619373601183,4.3,22.52,15.54,0.6133043506452149,64,31.05%,42.18%,41.14%,99.01,0.00,0.00,0,0.0,0.0,14.88,0.82,0.15,11.67,1.27,0.3,55.42,42.13,62.48,0.9279972365679109,51.46
100526,Franklin India Taxshield,Franklin ,Equity,ELSS,1.84%,4863.14,https://www.moneycontrol.com/mutual-funds/franklin-india-tax-shield/portfolio-overview/MKP007,4 Stars,Anand Radhakrishnan|R. Janakiraman,17.21,7.86,18.95,27.54,10.91,12.92,1.26,1.75,0.03,0.88,0.07,0.75,83.33,2006,2006-04-03,16.04,1.0555183830237003,6.41,21.54,15.76,0.616498092917068,49,33.06%,50.7%,40.55%,95.35,0.00,0.00,0,0.0,0.0,13.91,0.75,0.07,12.42,1.42,0.37,55.42,39.92,60.36,0.9252945991185514,49.29
101979,HDFC Tax Saver Fund,HDFC,Equity,ELSS,1.75%,10434.64,https://www.moneycontrol.com/mutual-funds/hdfc-tax-saver/portfolio-overview/MZU017,5 Stars,Roshi Jain,17.21,8.19,21.67,28.07,11.15,11.77,1.41,1.99,0.03,0.81,0.09,0.76,77.78,2006,2006-04-03,14.5,0.7312272952246943,12.51,21.38,14.18,0.5837246956828626,35,34.89%,57.15%,40.6%,95.22,0.00,0.00,0,0.0,0.0,13.91,0.75,0.07,12.34,1.12,0.22,53.93,41.3,58.08,0.9242933047763229,48.99
